Crypto,Label,Date,Closing_Price,Volume,Marketcap
Aave,AAVE,2020-10-06,42.40159861,583091.4597628,71011441.25451232
Aave,AAVE,2020-10-07,40.08397561,682834.18632335,67130036.89981823
Aave,AAVE,2020-10-08,43.76446306,1658816.92260445,220265142.10956785
Aave,AAVE,2020-10-09,46.81774415,815537.6607835,235632208.16269892
Aave,AAVE,2020-10-10,49.13371767,1074627.02770495,247288428.7561697
Aave,AAVE,2020-10-11,49.66072573,692150.60094118,249940843.43242228
Aave,AAVE,2020-10-12,52.23869222,1354836.06481028,262915666.29307267
Aave,AAVE,2020-10-13,51.12431679,1386221.2066711,257307050.4308017
Aave,AAVE,2020-10-14,51.31651791,3132405.42216768,258274392.50811112
Aave,AAVE,2020-10-15,44.01918294,5883146.06280652,221547139.1072777
Aave,AAVE,2020-10-16,39.49584426,52855204.93631293,365071463.27992666
Aave,AAVE,2020-10-17,41.36699325,43339687.2478275,382367032.26402897
Aave,AAVE,2020-10-18,40.74697166,40441163.45662788,376635994.1363743
Aave,AAVE,2020-10-19,36.01231739,49289896.51123791,332872221.1838187
Aave,AAVE,2020-10-20,32.18001748,60632325.59383004,297449169.45201
Aave,AAVE,2020-10-21,35.16035652,43831234.96273086,324997301.45456576
Aave,AAVE,2020-10-22,38.03165056,54717366.37734977,402396251.49084926
Aave,AAVE,2020-10-23,41.68663736,76081859.91147137,445257057.9715303
Aave,AAVE,2020-10-24,39.45502214,57658170.2946863,421421064.2790179
Aave,AAVE,2020-10-25,37.90476078,43970451.95984127,404862645.1741443
Aave,AAVE,2020-10-26,36.03392191,50307222.85474928,384880121.63162833
Aave,AAVE,2020-10-27,34.87153083,58581307.85370107,372464564.3579749
Aave,AAVE,2020-10-28,32.39408292,60533866.82608766,346002819.346564
Aave,AAVE,2020-10-29,29.09833402,66304785.64501483,310800760.62242234
Aave,AAVE,2020-10-30,31.21782294,77280723.5890018,350090548.37008536
Aave,AAVE,2020-10-31,29.70751775,58631071.60696922,333516029.29639417
Aave,AAVE,2020-11-01,30.65727643,49568339.15865809,345465544.0019291
Aave,AAVE,2020-11-02,29.73152358,87180146.47242028,335349717.5105502
